學年度	開課系所代碼	開課系所名稱	科目代碼	科目中文名稱	科目英文名稱	必選修	全/半	上學期學分	下學期學分	上學期正課時數	上學期實驗時數	下學期正課時數	下學期實驗時數	停開	
113	HM75 	電機系（碩）	AEC8026 	平行計算	Parallel Computing	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8027 	類比積體電路設計	Design of Analog Integrated Circuits	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8027 	類比積體電路設計	Design of Analog Integrated Circuits	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8028 	前瞻類比積體電路設計	Advanced Analog Ic Design	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8028 	前瞻類比積體電路設計	Advanced Analog Ic Design	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8029 	類比數位及數位類比轉換電路	Analog-to-Digital and Digital-to-Analog Converters	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8029 	類比數位及數位類比轉換電路	Analog-to-Digital and Digital-to-Analog Converters	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8030 	混合信號積體電路佈局	Layout of Mixed-signal Integrated Circuits	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8030 	混合信號積體電路佈局	Layout of Mixed-signal Integrated Circuits	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8031 	射頻與微波積體電路	Radio Frequency and Microwave Integrated Circuits	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8031 	射頻與微波積體電路	Radio Frequency and Microwave Integrated Circuits	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8032 	電磁波	Electromagnetic Waves	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8032 	電磁波	Electromagnetic Waves	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8033 	微波工程	Microwave Engineering	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8033 	微波工程	Microwave Engineering	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8034 	射頻主動電路設計與量測實務	Design and Measurement Techniques of RF Active Circuits	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
