學年度	開課系所代碼	開課系所名稱	科目代碼	科目中文名稱	科目英文名稱	必選修	全/半	上學期學分	下學期學分	上學期正課時數	上學期實驗時數	下學期正課時數	下學期實驗時數	停開
114	LM25 	翻譯所（碩）	TIC0046 	質性研究方法	Qualitative Research Methods	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0049 	筆譯研究方法專論	Special Topics in Research Methods for Translation Studies	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0049 	筆譯研究方法專論	Special Topics in Research Methods for Translation Studies	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0050 	口譯研究方法專論	Special Topics in Research Methods for Interpretation Studies	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0050 	口譯研究方法專論	Special Topics in Research Methods for Interpretation Studies	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0052 	西洋翻譯史專題研究	Special Topics in History of Translation in the West	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0052 	西洋翻譯史專題研究	Special Topics in History of Translation in the West	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0055 	翻譯與國際組織	Translation and International Organizations	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0055 	翻譯與國際組織	Translation and International Organizations	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0060 	專業服務業專題	Special Topics in Professional Service Industries	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0060 	專業服務業專題	Special Topics in Professional Service Industries	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0062 	電影與翻譯	Cinema and Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0062 	電影與翻譯	Cinema and Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0065 	量性研究方法	Quantitative Research Methods	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0065 	量性研究方法	Quantitative Research Methods	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0066 	華文文學英譯研究	A Study of Chinese Literature in English Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0066 	華文文學英譯研究	A Study of Chinese Literature in English Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0067 	英美文學中譯研究	A Study of English and American Literature in Chinese Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0067 	英美文學中譯研究	A Study of English and American Literature in Chinese Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC8001 	法律翻譯研究	Studies in Legal Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC8001 	法律翻譯研究	Studies in Legal Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC8002 	翻譯工作坊（英譯中）	Translation Workshop: English into Chinese	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8002 	翻譯工作坊（英譯中）	Translation Workshop: English into Chinese	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8003 	翻譯工作坊（中譯英）	Translation Workshop: Chinese into English	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8003 	翻譯工作坊（中譯英）	Translation Workshop: Chinese into English	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8004 	希臘文與翻譯（一）	Greek and Translation (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8004 	希臘文與翻譯（一）	Greek and Translation (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8005 	希臘文與翻譯（二）	Greek and Translation (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8005 	希臘文與翻譯（二）	Greek and Translation (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8006 	經典翻譯（一）	Classical Texts in Translation (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8006 	經典翻譯（一）	Classical Texts in Translation (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8007 	經典翻譯（二）	Classical Texts in Translation (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8007 	經典翻譯（二）	Classical Texts in Translation (II)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8008 	翻譯測驗與評量	Translation Testing and Assessment	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8008 	翻譯測驗與評量	Translation Testing and Assessment	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8009 	翻譯教學	Theories of Translation & Interpretation Teaching	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8009 	翻譯教學	Theories of Translation & Interpretation Teaching	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8010 	中英對比分析與翻譯	Chinese-English Contrastive Analysis and Translation	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM25 	翻譯所（碩）	TIC8010 	中英對比分析與翻譯	Chinese-English Contrastive Analysis and Translation	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC8011 	拉丁文與翻譯 （一）	Latin and Translation (I)	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
